tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T2-T3,39.48% (+0.37),41.79% (+2.68),40.79% (+1.68)
T2-T4,37.09% (-2.02),37.89% (-1.22),35.94% (-3.17)
T2-T5,35.62% (-3.49),36.49% (-2.62),35.17% (-3.94)
T3-T4,37.5% (-1.61),39.21% (+0.1),40.47% (+1.36)
T3-T5,35.46% (-3.65),37.0% (-2.11),35.78% (-3.33)
T4-T5,32.54% (-6.57),34.33% (-4.78),33.25% (-5.86)
T2-T3-T4,39.45% (+0.34),41.02% (+1.91),40.71% (+1.6)
T2-T3-T5,39.6% (+0.49),39.17% (+0.06),39.28% (+0.17)
T2-T4-T5,33.4% (-5.71),35.64% (-3.47),35.96% (-3.15)
T3-T4-T5,37.29% (-1.82),37.58% (-1.53),36.01% (-3.1)
T2-T3-T4-T5,38.27% (-0.84),38.2% (-0.91),36.93% (-2.18)
