tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,0.0011472329425707,0.0078642570983581,0.2574,2,S***
T2-T4,3.3048514066134467e-06,2.4916266245043023e-06,-0.3632,2,M***
T2-T5,1.0097542329617659e-10,5.0836686739658974e-08,-0.4952,2,L***
T3-T4,0.0401177536198133,0.0298021243361486,-0.1649,2,S**
T3-T5,3.2161329293727266e-06,2.327911555407181e-05,-0.3781,2,M***
T4-T5,8.325103270911903e-15,6.022990259390228e-11,-0.5994,2,L***
T2-T3-T4,0.5233384385856048,0.4670979775929611,0.034,3,S*
T2-T3-T5,0.4311289828293406,0.5224770796692506,0.0633,3,S*
T2-T4-T5,4.5404883759171054e-12,4.505925593161642e-10,-0.5368,3,L***
T3-T4-T5,0.1252363851301246,0.1560978184010696,-0.1241,3,S*
T2-T3-T4-T5,0.00213928161385,0.0066017527321572,-0.2401,4,S***
