tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T2-T3,30.3% (+1.64) S***,31.95% (+3.29) L***,30.67% (+2.01) L***,18.32% (+2.16) M***,17.96% (+1.8) M***,18.23% (+2.07) M***
T2-T4,27.26% (-1.4) M***,27.2% (-1.46) S***,26.62% (-2.04) S***,18.26% (+2.1) L***,18.05% (+1.89) L***,18.84% (+2.68) L***
T2-T5,25.85% (-2.81) L***,26.28% (-2.38) L***,25.82% (-2.84) M***,14.85% (-1.31) M***,14.91% (-1.25) M***,14.97% (-1.19) M***
T3-T4,27.26% (-1.4) S**,27.9% (-0.76) S*,28.99% (+0.33) S***,19.3% (+3.14) L***,18.84% (+2.68) L***,19.09% (+2.93) L***
T3-T5,26.01% (-2.65) M***,26.83% (-1.83) M***,26.37% (-2.29) M***,16.77% (+0.61) S**,16.55% (+0.39) S*,17.41% (+1.25) S***
T4-T5,24.42% (-4.24) L***,24.79% (-3.87) L***,24.91% (-3.75) L***,16.34% (+0.18) S*,15.82% (-0.34) S*,16.43% (+0.27) S*
T2-T3-T4,29.27% (+0.61) S*,29.12% (+0.46) S*,29.09% (+0.43) S**,18.48% (+2.32) L***,18.78% (+2.62) L***,18.99% (+2.83) L***
T2-T3-T5,29.02% (+0.36) S*,28.48% (-0.18) S*,27.77% (-0.89) S*,17.04% (+0.88) S**,16.55% (+0.39) S**,16.8% (+0.64) S*
T2-T4-T5,25.09% (-3.57) L***,25.88% (-2.78) L***,26.16% (-2.5) M***,16.74% (+0.58) S*,16.25% (+0.09) S*,17.5% (+1.34) M***
T3-T4-T5,27.8% (-0.86) S*,27.1% (-1.56) M***,26.37% (-2.29) M***,17.23% (+1.07) S***,17.26% (+1.1) M***,17.8% (+1.64) M***
T2-T3-T4-T5,27.5% (-1.16) S***,27.84% (-0.82) S*,27.29% (-1.37) S***,16.92% (+0.76) S**,17.47% (+1.31) M***,17.77% (+1.61) M***
