tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T1-T2,40.54% (+1.43) S***,39.88% (+0.77) S*,41.46% (+2.35) S*,19.37% (-0.47) S*,19.97% (+0.13) S*,19.51% (-0.33) S*
T1-T3,41.72% (+2.61) L***,42.24% (+3.13) L***,42.37% (+3.26) M***,21.32% (+1.48) M***,20.52% (+0.68) S***,21.29% (+1.45) M***
T1-T4,38.94% (-0.17) S*,37.78% (-1.33) M***,38.61% (-0.5) S***,21.57% (+1.73) M***,21.15% (+1.31) S***,21.65% (+1.81) M***
T1-T5,35.18% (-3.93) L***,34.43% (-4.68) L***,34.76% (-4.35) L***,19.29% (-0.55) S*,19.26% (-0.58) S*,19.49% (-0.35) S*
T1-T2-T3,41.53% (+2.42) M***,42.94% (+3.83) L***,43.12% (+4.01) M***,20.44% (+0.6) S*,21.27% (+1.43) M***,21.65% (+1.81) M***
T1-T2-T4,39.64% (+0.53) S*,40.22% (+1.11) S*,41.57% (+2.46) S***,20.44% (+0.6) S*,21.41% (+1.57) M***,21.53% (+1.69) M***
T1-T2-T5,37.91% (-1.2) S*,39.81% (+0.7) S*,37.8% (-1.31) M***,19.84% (+0.0) S*,19.48% (-0.36) S*,19.97% (+0.13) S*
T1-T3-T4,40.49% (+1.38) S**,39.39% (+0.28) S*,39.47% (+0.36) S*,21.96% (+2.12) M***,21.58% (+1.74) M***,21.16% (+1.32) S**
T1-T3-T5,38.24% (-0.87) S*,39.34% (+0.23) S*,37.25% (-1.86) L***,20.45% (+0.61) S*,19.85% (+0.01) S*,20.52% (+0.68) S**
T1-T4-T5,37.23% (-1.88) S***,38.29% (-0.82) S*,36.18% (-2.93) L***,19.76% (-0.08) S*,20.51% (+0.67) S**,20.15% (+0.31) S*
T1-T2-T3-T4,39.76% (+0.65) S***,41.14% (+2.03) S**,41.74% (+2.63) S**,20.83% (+0.99) S*,20.68% (+0.84) S***,22.45% (+2.61) L***
T1-T2-T3-T5,40.61% (+1.5) S***,40.35% (+1.24) S**,40.77% (+1.66) S*,19.18% (-0.66) S*,19.91% (+0.07) S*,20.92% (+1.08) S***
T1-T2-T4-T5,38.3% (-0.81) S*,39.09% (-0.02) S**,38.82% (-0.29) S***,21.37% (+1.53) S***,20.88% (+1.04) S***,21.11% (+1.27) S***
T1-T3-T4-T5,37.46% (-1.65) S**,38.23% (-0.88) S**,38.33% (-0.78) S***,20.55% (+0.71) S***,20.68% (+0.84) S***,21.07% (+1.23) S***
T1-T2-T3-T4-T5,39.01% (-0.1) S*,39.84% (+0.73) S*,37.31% (-1.8) M***,20.82% (+0.98) S*,19.69% (-0.15) S*,20.89% (+1.05) S***
