tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T1-T2-T4,27.32% (-1.34),27.35% (-1.31),27.5% (-1.16)
T1-T2-T5,25.73% (-2.93),25.88% (-2.78),25.37% (-3.29)
T1-T4-T2,28.29% (-0.37),28.81% (+0.15),28.78% (+0.12)
T1-T4-T5,25.43% (-3.23),24.63% (-4.03),25.43% (-3.23)
T1-T5-T2,27.9% (-0.76),28.11% (-0.55),27.59% (-1.07)
T1-T5-T4,26.07% (-2.59),25.09% (-3.57),25.95% (-2.71)
T2-T1-T4,28.17% (-0.49),27.35% (-1.31),27.5% (-1.16)
T2-T1-T5,25.52% (-3.14),25.88% (-2.78),25.37% (-3.29)
T2-T4-T1,29.21% (+0.55),28.96% (+0.3),28.78% (+0.12)
T2-T5-T1,27.68% (-0.98),28.2% (-0.46),27.41% (-1.25)
T4-T1-T2,28.11% (-0.55),28.81% (+0.15),28.78% (+0.12)
T4-T1-T5,24.73% (-3.93),24.63% (-4.03),25.43% (-3.23)
T4-T2-T1,29.3% (+0.64),28.96% (+0.3),28.78% (+0.12)
T4-T5-T1,27.07% (-1.59),25.73% (-2.93),26.46% (-2.2)
T5-T1-T2,27.84% (-0.82),28.11% (-0.55),27.59% (-1.07)
T5-T1-T4,26.28% (-2.38),25.09% (-3.57),25.95% (-2.71)
T5-T2-T1,28.11% (-0.55),28.2% (-0.46),27.41% (-1.25)
T5-T4-T1,26.8% (-1.86),25.73% (-2.93),26.46% (-2.2)
T1-T2-T4-T5,25.03% (-3.63),24.33% (-4.33),25.73% (-2.93)
T1-T2-T5-T4,25.21% (-3.45),25.55% (-3.11),25.67% (-2.99)
T1-T4-T2-T5,25.43% (-3.23),25.49% (-3.17),25.73% (-2.93)
T1-T4-T5-T2,26.31% (-2.35),27.29% (-1.37),27.16% (-1.5)
T1-T5-T2-T4,25.85% (-2.81),26.46% (-2.2),26.43% (-2.23)
T1-T5-T4-T2,27.47% (-1.19),27.96% (-0.7),27.38% (-1.28)
T2-T1-T4-T5,25.46% (-3.2),24.33% (-4.33),25.73% (-2.93)
T2-T1-T5-T4,25.76% (-2.9),25.55% (-3.11),25.67% (-2.99)
T2-T4-T1-T5,25.4% (-3.26),25.3% (-3.36),25.55% (-3.11)
T2-T4-T5-T1,27.04% (-1.62),27.35% (-1.31),27.13% (-1.53)
T2-T5-T1-T4,26.77% (-1.89),27.16% (-1.5),26.52% (-2.14)
T2-T5-T4-T1,27.59% (-1.07),27.2% (-1.46),27.32% (-1.34)
T4-T1-T2-T5,25.73% (-2.93),25.49% (-3.17),25.73% (-2.93)
T4-T1-T5-T2,27.01% (-1.65),27.29% (-1.37),27.16% (-1.5)
T4-T2-T1-T5,25.4% (-3.26),25.3% (-3.36),25.55% (-3.11)
T4-T2-T5-T1,28.02% (-0.64),27.35% (-1.31),27.13% (-1.53)
T4-T5-T1-T2,28.69% (+0.03),28.38% (-0.28),28.26% (-0.4)
T4-T5-T2-T1,28.57% (-0.09),28.69% (+0.03),29.02% (+0.36)
T5-T1-T2-T4,27.26% (-1.4),26.46% (-2.2),26.43% (-2.23)
T5-T1-T4-T2,28.08% (-0.58),27.96% (-0.7),27.38% (-1.28)
T5-T2-T1-T4,27.41% (-1.25),27.16% (-1.5),26.52% (-2.14)
T5-T2-T4-T1,27.62% (-1.04),27.2% (-1.46),27.32% (-1.34)
T5-T4-T1-T2,28.32% (-0.34),28.38% (-0.28),28.26% (-0.4)
T5-T4-T2-T1,28.41% (-0.25),28.69% (+0.03),29.02% (+0.36)
