T1-T2-T4,27.32,40.25
T1-T2-T5,25.73,34.9
T1-T4-T2,28.29,39.32
T1-T4-T5,25.43,35.16
T1-T5-T2,27.9,39.26
T1-T5-T4,26.07,36.34
T2-T1-T4,28.17,39.15
T2-T1-T5,25.52,34.71
T2-T4-T1,29.21,39.78
T2-T5-T1,27.68,40.32
T4-T1-T2,28.11,39.81
T4-T1-T5,24.73,33.7
T4-T2-T1,29.3,41.51
T4-T5-T1,27.07,37.88
T5-T1-T2,27.84,38.82
T5-T1-T4,26.28,35.19
T5-T2-T1,28.11,39.88
T5-T4-T1,26.8,38.03
T1-T2-T4-T5,25.03,34.03
T1-T2-T5-T4,25.21,35.09
T1-T4-T2-T5,25.43,34.17
T1-T4-T5-T2,26.31,35.96
T1-T5-T2-T4,25.85,36.99
T1-T5-T4-T2,27.47,38.48
T2-T1-T4-T5,25.46,34.34
T2-T1-T5-T4,25.76,35.99
T2-T4-T1-T5,25.4,35.54
T2-T4-T5-T1,27.04,37.78
T2-T5-T1-T4,26.77,38.17
T2-T5-T4-T1,27.59,39.83
T4-T1-T2-T5,25.73,33.94
T4-T1-T5-T2,27.01,38.76
T4-T2-T1-T5,25.4,34.12
T4-T2-T5-T1,28.02,40.1
T4-T5-T1-T2,28.69,41.28
T4-T5-T2-T1,28.57,40.73
T5-T1-T2-T4,27.26,37.24
T5-T1-T4-T2,28.08,39.48
T5-T2-T1-T4,27.41,38.68
T5-T2-T4-T1,27.62,40.1
T5-T4-T1-T2,28.32,40.39
T5-T4-T2-T1,28.41,41.05
