tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2-T4,0.3961670393941067,0.5473692910808176,0.0602,3,S*
T1-T2-T5,6.651464034559429e-18,4.159221788308028e-12,-0.646,3,L***
T1-T4-T2,0.5931660368074971,0.4250496167958784,-0.0512,3,S*
T1-T4-T5,2.8623164627176105e-26,4.782479999455785e-15,-0.7828,3,L***
T1-T5-T2,0.3426844156787151,0.3271243358754563,0.0736,3,S*
T1-T5-T4,2.0789528380136253e-21,1.1105191188694947e-14,-0.7136,3,L***
T2-T1-T4,0.4793370756753659,0.6327020543587233,0.0578,3,S*
T2-T1-T5,4.69550653722161e-14,2.0511354073387348e-10,-0.5724,3,L***
T2-T4-T1,0.0630841976217724,0.037194304323534,0.155,3,S*
T2-T5-T1,0.0001308519720807,0.0001112362452889,0.3064,3,M***
T4-T1-T2,0.847910612041843,0.7078260175355122,0.0208,3,S*
T4-T1-T5,2.7827219445671537e-21,5.950277403502358e-15,-0.73,3,L***
T4-T2-T1,0.0846442218039774,0.1137341919021739,0.1374,3,S*
T4-T5-T1,0.0004936515903478,0.000716173136332,-0.2726,3,S***
T5-T1-T2,0.2568934690700705,0.3087995581123958,0.0758,3,S*
T5-T1-T4,1.4624179068859162e-17,6.181679327962521e-13,-0.6498,3,L***
T5-T2-T1,0.0001666688357425,8.373748663829111e-05,0.2912,3,M***
T5-T4-T1,0.0002440917197875,0.0001512342302204,-0.283,3,M***
T1-T2-T4-T5,2.170297379725801e-19,1.5582818719608176e-12,-0.674,4,L***
T1-T2-T5-T4,1.8221518691291952e-13,4.260963777218884e-11,-0.5584,4,L***
T1-T4-T2-T5,2.6526870012121902e-14,1.1419186889976034e-10,-0.5802,4,L***
T1-T4-T5-T2,0.00397064986132,0.0031068905888737,-0.2234,4,S***
T1-T5-T2-T4,0.0205552109065752,0.0249750902260529,-0.1918,4,S**
T1-T5-T4-T2,0.0011270063696217,0.000377651617653,-0.2446,4,S***
T2-T1-T4-T5,7.254353595213294e-20,3.0717604535203435e-14,-0.694,4,L***
T2-T1-T5-T4,3.3005471996932584e-08,2.4475404723265412e-08,-0.4534,4,L***
T2-T4-T1-T5,6.787540817292106e-15,9.964477157927916e-11,-0.5908,4,L***
T2-T4-T5-T1,0.367696136832065,0.5047497647349051,-0.0786,4,S*
T2-T5-T1-T4,0.1783306949641908,0.1669082781325895,-0.101,4,S*
T2-T5-T4-T1,0.0503659904761669,0.1185238737969819,0.1502,4,S*
T4-T1-T2-T5,3.648355584630037e-14,8.303582149243268e-11,-0.591,4,L***
T4-T1-T5-T2,0.0654336356854502,0.0689306794009137,-0.1436,4,S*
T4-T2-T1-T5,1.5503808706514586e-12,1.289952484451443e-09,-0.5646,4,L***
T4-T2-T5-T1,0.363740937191654,0.3426319759495927,-0.0856,4,S*
T4-T5-T1-T2,0.8201313157724813,0.7206533187202941,0.0114,4,S*
T4-T5-T2-T1,3.6532771998076262e-06,1.11192093310351e-05,0.3646,4,M***
T5-T1-T2-T4,0.0041880398265162,0.0100151639165336,-0.2304,4,S***
T5-T1-T4-T2,0.001548113956073,0.0037907457132868,-0.2608,4,S***
T5-T2-T1-T4,0.2879015743452359,0.3153830218718065,-0.0924,4,S*
T5-T2-T4-T1,0.0299068237059371,0.0418017638755898,0.1818,4,S**
T5-T4-T1-T2,0.4611193168955295,0.5180170574396306,-0.0476,4,S*
T5-T4-T2-T1,9.8897381587233e-11,1.3192638441071741e-08,0.5146,4,L***
