tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T1-T2,28.41% (-0.25),29.63% (+0.97),28.93% (+0.27)
T1-T3,30.18% (+1.52),31.01% (+2.35),30.15% (+1.49)
T1-T4,27.35% (-1.31),26.89% (-1.77),27.13% (-1.53)
T1-T5,25.24% (-3.42),25.88% (-2.78),25.82% (-2.84)
T1-T2-T3,30.82% (+2.16),31.04% (+2.38),30.95% (+2.29)
T1-T2-T4,28.2% (-0.46),28.26% (-0.4),28.99% (+0.33)
T1-T2-T5,27.38% (-1.28),27.26% (-1.4),26.49% (-2.17)
T1-T3-T4,29.27% (+0.61),29.02% (+0.36),28.51% (-0.15)
T1-T3-T5,28.05% (-0.61),28.93% (+0.27),27.99% (-0.67)
T1-T4-T5,26.16% (-2.5),26.28% (-2.38),25.82% (-2.84)
T1-T2-T3-T4,30.21% (+1.55),30.06% (+1.4),30.3% (+1.64)
T1-T2-T3-T5,29.15% (+0.49),29.39% (+0.73),28.05% (-0.61)
T1-T2-T4-T5,27.29% (-1.37),27.53% (-1.13),26.68% (-1.98)
T1-T3-T4-T5,28.69% (+0.03),27.56% (-1.1),27.9% (-0.76)
T1-T2-T3-T4-T5,27.8% (-0.86),28.38% (-0.28),27.32% (-1.34)
