T1-T4-T5,0.1548780487804878,0.20220112987518407
T1-T2-T4-T5,0.15853658536585366,0.2051155208530803
T4-T1-T2-T5,0.14939024390243902,0.19024670112037023
T5-T2-T4-T1,0.16524390243902437,0.20696093436881022
T4-T5-T2-T1,0.15945121951219512,0.20508944823205186
T1-T4-T5-T2,0.17134146341463416,0.20701030733217546
T2-T5-T1-T4,0.17439024390243904,0.21452367763626543
T1-T2-T5,0.1521341463414634,0.1912657445627694
T5-T2-T1-T4,0.17682926829268292,0.2143113342898135
T4-T1-T5-T2,0.16463414634146342,0.20560604916491043
T5-T1-T2-T4,0.17865853658536585,0.2151785954738458
T2-T1-T4-T5,0.15853658536585366,0.20533921734084087
T5-T1-T4,0.1655487804878049,0.208146908592427
T1-T5-T2-T4,0.17652439024390246,0.21591559256268913
T4-T2-T1,0.17012195121951218,0.22113094185132245
T2-T5-T4-T1,0.16615853658536586,0.20760057167026888
T4-T1-T5,0.15701219512195122,0.20384311094025664
T2-T4-T1,0.17073170731707318,0.22377642179613033
T2-T1-T4,0.17713414634146343,0.2156185627028714
T5-T4-T2-T1,0.1600609756097561,0.20777268397237436
T4-T2-T5-T1,0.15975609756097564,0.20696743602240847
T2-T1-T5-T4,0.1722560975609756,0.20855822894163906
T4-T5-T1,0.1649390243902439,0.210313939439704
T2-T1-T5,0.14359756097560977,0.1944895086413247
T1-T5-T2,0.1628048780487805,0.20429152701862816
T4-T2-T1-T5,0.15365853658536585,0.20438842475956426
T4-T5-T1-T2,0.16890243902439023,0.2058634420401014
T5-T4-T1-T2,0.1673780487804878,0.20560822738388243
T1-T4-T2,0.17469512195121953,0.2183773430375409
T4-T1-T2,0.1746951219512195,0.21411057510789447
T5-T2-T1,0.15731707317073174,0.20024439616865802
T5-T4-T1,0.16371951219512193,0.1982886855649825
T1-T2-T5-T4,0.1704268292682927,0.2095895826215618
T5-T1-T2,0.15823170731707314,0.20679245243165806
T1-T2-T4,0.17835365853658539,0.22308480426920357
T1-T5-T4-T2,0.17560975609756097,0.21464423875603367
T1-T5-T4,0.16920731707317074,0.21254106932861747
T1-T4-T2-T5,0.14664634146341463,0.19579934431648546
T2-T4-T5-T1,0.15792682926829268,0.19968568300234085
T2-T4-T1-T5,0.14695121951219514,0.20018627732608701
T2-T5-T1,0.15701219512195122,0.1990663427413031
T5-T1-T4-T2,0.17500000000000002,0.21443836405986222
