T1-T2-T4,27.5,38.5
T1-T2-T5,25.37,35.05
T1-T4-T2,28.78,39.21
T1-T4-T5,25.43,35.12
T1-T5-T2,27.59,39.74
T1-T5-T4,25.95,37.06
T2-T1-T4,27.5,38.5
T2-T1-T5,25.37,35.05
T2-T4-T1,28.78,40.75
T2-T5-T1,27.41,39.89
T4-T1-T2,28.78,39.21
T4-T1-T5,25.43,35.12
T4-T2-T1,28.78,40.75
T4-T5-T1,26.46,37.19
T5-T1-T2,27.59,39.74
T5-T1-T4,25.95,37.06
T5-T2-T1,27.41,39.89
T5-T4-T1,26.46,37.19
T1-T2-T4-T5,25.73,35.46
T1-T2-T5-T4,25.67,36.31
T1-T4-T2-T5,25.73,35.77
T1-T4-T5-T2,27.16,38.15
T1-T5-T2-T4,26.43,35.7
T1-T5-T4-T2,27.38,37.68
T2-T1-T4-T5,25.73,35.46
T2-T1-T5-T4,25.67,36.31
T2-T4-T1-T5,25.55,35.22
T2-T4-T5-T1,27.13,37.26
T2-T5-T1-T4,26.52,36.61
T2-T5-T4-T1,27.32,38.46
T4-T1-T2-T5,25.73,35.77
T4-T1-T5-T2,27.16,38.15
T4-T2-T1-T5,25.55,35.22
T4-T2-T5-T1,27.13,37.26
T4-T5-T1-T2,28.26,40.23
T4-T5-T2-T1,29.02,41.87
T5-T1-T2-T4,26.43,35.7
T5-T1-T4-T2,27.38,37.68
T5-T2-T1-T4,26.52,36.61
T5-T2-T4-T1,27.32,38.46
T5-T4-T1-T2,28.26,40.23
T5-T4-T2-T1,29.02,41.87
