T1-T4-T5, -3.23
T1-T2-T4-T5, -2.93
T4-T1-T2-T5, -2.93
T5-T2-T4-T1, -1.34
T4-T5-T2-T1, 0.36
T1-T4-T5-T2, -1.5
T2-T5-T1-T4, -2.14
T1-T2-T5, -3.29
T5-T2-T1-T4, -2.14
T4-T1-T5-T2, -1.5
T5-T1-T2-T4, -2.23
T2-T1-T4-T5, -2.93
T5-T1-T4, -2.71
T1-T5-T2-T4, -2.23
T4-T2-T1, 0.12
T2-T5-T4-T1, -1.34
T4-T1-T5, -3.23
T2-T4-T1, 0.12
T2-T1-T4, -1.16
T5-T4-T2-T1, 0.36
T4-T2-T5-T1, -1.53
T2-T1-T5-T4, -2.99
T4-T5-T1, -2.2
T2-T1-T5, -3.29
T1-T5-T2, -1.07
T4-T2-T1-T5, -3.11
T4-T5-T1-T2, -0.4
T5-T4-T1-T2, -0.4
T1-T4-T2, 0.12
T4-T1-T2, 0.12
T5-T2-T1, -1.25
T5-T4-T1, -2.2
T1-T2-T5-T4, -2.99
T5-T1-T2, -1.07
T1-T2-T4, -1.16
T1-T5-T4-T2, -1.28
T1-T5-T4, -2.71
T1-T4-T2-T5, -2.93
T2-T4-T5-T1, -1.53
T2-T4-T1-T5, -3.11
T2-T5-T1, -1.25
T5-T1-T4-T2, -1.28
