tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T1-T2-T4,22.31% (+2.47),21.38% (+1.54),21.57% (+1.73)
T1-T2-T5,19.13% (-0.71),18.99% (-0.85),19.44% (-0.4)
T1-T4-T2,21.84% (+2.0),22.09% (+2.25),21.73% (+1.89)
T1-T4-T5,20.22% (+0.38),19.78% (-0.06),19.84% (+0.0)
T1-T5-T2,20.43% (+0.59),19.47% (-0.37),20.19% (+0.35)
T1-T5-T4,21.25% (+1.41),20.68% (+0.84),21.31% (+1.47)
T2-T1-T4,21.56% (+1.72),21.38% (+1.54),21.57% (+1.73)
T2-T1-T5,19.45% (-0.39),18.99% (-0.85),19.44% (-0.4)
T2-T4-T1,22.38% (+2.54),20.6% (+0.76),21.25% (+1.41)
T2-T5-T1,19.91% (+0.07),19.84% (+0.0),20.3% (+0.46)
T4-T1-T2,21.41% (+1.57),22.09% (+2.25),21.73% (+1.89)
T4-T1-T5,20.38% (+0.54),19.78% (-0.06),19.84% (+0.0)
T4-T2-T1,22.11% (+2.27),20.6% (+0.76),21.25% (+1.41)
T4-T5-T1,21.03% (+1.19),20.07% (+0.23),19.77% (-0.07)
T5-T1-T2,20.68% (+0.84),19.47% (-0.37),20.19% (+0.35)
T5-T1-T4,20.81% (+0.97),20.68% (+0.84),21.31% (+1.47)
T5-T2-T1,20.02% (+0.18),19.84% (+0.0),20.3% (+0.46)
T5-T4-T1,19.83% (-0.01),20.07% (+0.23),19.77% (-0.07)
T1-T2-T4-T5,20.51% (+0.67),19.92% (+0.08),20.56% (+0.72)
T1-T2-T5-T4,20.96% (+1.12),20.36% (+0.52),21.11% (+1.27)
T1-T4-T2-T5,19.58% (-0.26),19.14% (-0.7),20.51% (+0.67)
T1-T4-T5-T2,20.7% (+0.86),20.98% (+1.14),20.28% (+0.44)
T1-T5-T2-T4,21.59% (+1.75),20.98% (+1.14),21.99% (+2.15)
T1-T5-T4-T2,21.46% (+1.62),20.69% (+0.85),20.86% (+1.02)
T2-T1-T4-T5,20.53% (+0.69),19.92% (+0.08),20.56% (+0.72)
T2-T1-T5-T4,20.86% (+1.02),20.36% (+0.52),21.11% (+1.27)
T2-T4-T1-T5,20.02% (+0.18),19.0% (-0.84),19.85% (+0.01)
T2-T4-T5-T1,19.97% (+0.13),19.75% (-0.09),20.76% (+0.92)
T2-T5-T1-T4,21.45% (+1.61),21.29% (+1.45),21.09% (+1.25)
T2-T5-T4-T1,20.76% (+0.92),20.57% (+0.73),21.23% (+1.39)
T4-T1-T2-T5,19.02% (-0.82),19.14% (-0.7),20.51% (+0.67)
T4-T1-T5-T2,20.56% (+0.72),20.98% (+1.14),20.28% (+0.44)
T4-T2-T1-T5,20.44% (+0.6),19.0% (-0.84),19.85% (+0.01)
T4-T2-T5-T1,20.7% (+0.86),19.75% (-0.09),20.76% (+0.92)
T4-T5-T1-T2,20.59% (+0.75),19.98% (+0.14),21.15% (+1.31)
T4-T5-T2-T1,20.51% (+0.67),20.13% (+0.29),20.52% (+0.68)
T5-T1-T2-T4,21.52% (+1.68),20.98% (+1.14),21.99% (+2.15)
T5-T1-T4-T2,21.44% (+1.6),20.69% (+0.85),20.86% (+1.02)
T5-T2-T1-T4,21.43% (+1.59),21.29% (+1.45),21.09% (+1.25)
T5-T2-T4-T1,20.7% (+0.86),20.57% (+0.73),21.23% (+1.39)
T5-T4-T1-T2,20.56% (+0.72),19.98% (+0.14),21.15% (+1.31)
T5-T4-T2-T1,20.78% (+0.94),20.13% (+0.29),20.52% (+0.68)
