tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T2-T3,18.32% (+2.16),17.96% (+1.8),18.23% (+2.07)
T2-T4,18.26% (+2.1),18.05% (+1.89),18.84% (+2.68)
T2-T5,14.85% (-1.31),14.91% (-1.25),14.97% (-1.19)
T3-T4,19.3% (+3.14),18.84% (+2.68),19.09% (+2.93)
T3-T5,16.77% (+0.61),16.55% (+0.39),17.41% (+1.25)
T4-T5,16.34% (+0.18),15.82% (-0.34),16.43% (+0.27)
T2-T3-T4,18.48% (+2.32),18.78% (+2.62),18.99% (+2.83)
T2-T3-T5,17.04% (+0.88),16.55% (+0.39),16.8% (+0.64)
T2-T4-T5,16.74% (+0.58),16.25% (+0.09),17.5% (+1.34)
T3-T4-T5,17.23% (+1.07),17.26% (+1.1),17.8% (+1.64)
T2-T3-T4-T5,16.92% (+0.76),17.47% (+1.31),17.77% (+1.61)
