tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.7776018712595085,0.751754987860909,0.0403,2,S*
T1-T3,0.0064542698427847,0.0140898721986799,0.2038,2,S***
T1-T4,0.0040004855517518,0.0073962658118199,0.2438,2,S***
T1-T5,0.174153012555939,0.1648074405410495,-0.1086,2,S*
T1-T2-T3,4.773119589570582e-05,0.0002389203960743,0.3088,3,M***
T1-T2-T4,0.000368338370669,0.0004832018361438,0.2942,3,M***
T1-T2-T5,0.7568970537142315,0.6425231921087418,-0.0514,3,S*
T1-T3-T4,1.4805466971427491e-06,1.010991662904815e-05,0.3723,3,M***
T1-T3-T5,0.8977057686124585,0.7078260175355122,0.0144,3,S*
T1-T4-T5,0.0334309080348527,0.0457528030084197,0.1658,3,S**
T1-T2-T3-T4,0.0005568366935512,0.0015786634788142,0.258,4,S***
T1-T2-T3-T5,0.8464563207379641,0.7648374369781873,0.0154,4,S*
T1-T2-T4-T5,0.0089495878041062,0.0119568431430603,0.2028,4,S***
T1-T3-T4-T5,0.0030013182574639,0.0068815355518277,0.2476,4,S***
T1-T2-T3-T4-T5,0.8090608759289546,0.6673479673381713,-0.0099,5,S*
