tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,5.13226457592676e-07,5.75304606041702e-07,0.3902,2,M***
T2-T4,1.197790867406217e-13,2.14489731295172e-10,0.576,2,L***
T2-T5,0.0882941228969796,0.1506555530326218,-0.1268,2,S*
T3-T4,2.393334789225324e-11,4.4702031274545934e-09,0.5265,2,L***
T3-T5,8.546658398322107e-05,0.0001833643466324,0.303,2,M***
T4-T5,0.0020347856783807,0.0034714875822547,0.2344,2,S***
T2-T3-T4,2.5150191760566325e-10,4.0750873952810794e-08,0.4894,3,L***
T2-T3-T5,0.4897559442382754,0.3806096847397923,0.0401,3,S*
T2-T4-T5,7.496321224650467e-06,0.0002017387610744,0.3494,3,M***
T3-T4-T5,1.1624266530982891e-05,0.0001576371813406,0.3507,3,M***
T2-T3-T4-T5,1.1135150144779436e-05,1.0271825119150714e-05,0.3476,4,M***
