T1-T4-T5, -3.99
T1-T2-T4-T5, -3.65
T4-T1-T2-T5, -3.34
T5-T2-T4-T1, -0.65
T4-T5-T2-T1, 2.76
T1-T4-T5-T2, -0.96
T2-T5-T1-T4, -2.5
T1-T2-T5, -4.06
T5-T2-T1-T4, -2.5
T4-T1-T5-T2, -0.96
T5-T1-T2-T4, -3.41
T2-T1-T4-T5, -3.65
T5-T1-T4, -2.05
T1-T5-T2-T4, -3.41
T4-T2-T1, 1.64
T2-T5-T4-T1, -0.65
T4-T1-T5, -3.99
T2-T4-T1, 1.64
T2-T1-T4, -0.61
T5-T4-T2-T1, 2.76
T4-T2-T5-T1, -1.85
T2-T1-T5-T4, -2.8
T4-T5-T1, -1.92
T2-T1-T5, -4.06
T1-T5-T2, 0.63
T4-T2-T1-T5, -3.89
T4-T5-T1-T2, 1.12
T5-T4-T1-T2, 1.12
T1-T4-T2, 0.1
T4-T1-T2, 0.1
T5-T2-T1, 0.78
T5-T4-T1, -1.92
T1-T2-T5-T4, -2.8
T5-T1-T2, 0.63
T1-T2-T4, -0.61
T1-T5-T4-T2, -1.43
T1-T5-T4, -2.05
T1-T4-T2-T5, -3.34
T2-T4-T5-T1, -1.85
T2-T4-T1-T5, -3.89
T2-T5-T1, 0.78
T5-T1-T4-T2, -1.43
