tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T1-T2,16.43% (+0.27),16.28% (+0.12),16.25% (+0.09)
T1-T3,17.41% (+1.25),17.07% (+0.91),17.2% (+1.04)
T1-T4,17.35% (+1.19),16.86% (+0.7),17.35% (+1.19)
T1-T5,15.0% (-1.16),14.73% (-1.43),14.73% (-1.43)
T1-T2-T3,17.29% (+1.13),17.29% (+1.13),17.96% (+1.8)
T1-T2-T4,17.32% (+1.16),16.98% (+0.82),17.32% (+1.16)
T1-T2-T5,15.37% (-0.79),15.15% (-1.01),15.34% (-0.82)
T1-T3-T4,17.93% (+1.77),17.8% (+1.64),17.68% (+1.52)
T1-T3-T5,16.65% (+0.49),16.22% (+0.06),16.89% (+0.73)
T1-T4-T5,15.88% (-0.28),16.01% (-0.15),16.22% (+0.06)
T1-T2-T3-T4,17.47% (+1.31),17.71% (+1.55),18.14% (+1.98)
T1-T2-T3-T5,15.91% (-0.25),16.28% (+0.12),17.07% (+0.91)
T1-T2-T4-T5,16.49% (+0.33),16.46% (+0.3),17.1% (+0.94)
T1-T3-T4-T5,16.65% (+0.49),16.74% (+0.58),17.47% (+1.31)
T1-T2-T3-T4-T5,17.29% (+1.13),16.65% (+0.49),17.13% (+0.97)
